"ID","languages.1"
"code","eng"
"relation_t","Thuthukisa Ubudlelwano Bami Nengane Yami"
"relation_c","Thuthukisa Ubudlelwano Bami Nengane Yami"
"develop_t","Qonda Ukuthuthuka Kwengane"
"develop_c","Sekela Ukuthuthuka Kwengane Yami"
"learning_t","Sekela Imfundo Yengane Yami"
"learning_c","Lungiselela Ingane Yami Iphumelele Esikoleni"
"structure_t","Dala Isakhiwo Sengane Yami"
"structure_c","Nika Ingane Yami Isakhiwo"
"behave_t","Phatha Ukuziphatha Kwengane Yami"
"behave_c","Phatha Ukuziphatha Kwengane Yami"
"wellbeing_t","Nakekela Impilo Yengane Yami"
"safety_t","Gcina Intsha Yami Iphephile"
"safety_c","Gcina Ingane Yami Iphephile Futhi Inempilo"
"ipv","Yiba Nobudlelwano Obunempilo Nomlingani Wami"
"budget","Ibhajethi Yomndeni Nezindlela Zokonga Imali"
